,0
aa,2
aachen,0
aamir,1
aan,1
aap,0
aaron,0
ab,5
abandon,1
abandoned,0
abandonment,0
abba,8
abbas,0
abbey,2
abbots,0
abbott,1
abbotts,0
abc,3
abdul,0
abdullah,1
abdulrahman,2
abe,0
abed,0
abel,0
aberdeen,0
abhi,0
abhishek,0
abi,0
abide,0
abilene,1
abilities,0
ability,1
abingdon,0
abit,0
able,25
ably,0
abnormal,0
abomination,1
aboriginal,0
abound,1
abreast,0
abroad,1
abrupt,0
abruptly,2
abs,8
absence,0
absolute,2
absolutely,9
absorb,1
abstinence,0
abstract,1
abstraction,0
abt,0
abu,0
abundance,1
abuse,2
abused,0
abuser,0
ac,0
acacia,1
academic,0
academics,0
academy,2
accent,0
accept,26
acceptable,1
acceptance,1
accepted,5
accepting,3
accepts,0
access,7
accessing,0
accessories,3
accessory,0
accident,0
accidentally,1
accolade,0
accommodate,1
accommodation,0
accompanied,2
accompaniment,0
accomplices,1
accomplished,1
accomplishing,0
accomplishment,0
accomplishments,0
accord,1
accordance,1
according,13
accordion,0
accordionist,0
account,4
accountability,0
accountable,2
accounts,2
acct,0
accumulated,1
accumulates,0
accurate,6
accurately,0
accusation,0
accusations,0
accused,1
accuses,1
ace,2
aces,1
ache,0
aches,0
achieve,2
achieved,0
achievement,1
achievements,1
achieving,1
aching,0
achoo,0
achtung,1
acid,0
acids,0
ack,0
acknowledge,0
acknowledging,1
aclu,0
acne,0
acorn,0
acoustic,1
acp,0
acquired,0
acquiring,2
acres,1
acrid,0
acrylic,11
act,9
acted,0
acting,2
action,10
actions,2
activate,1
activated,2
activates,1
active,11
actively,0
activism,0
activist,0
activists,1
activities,7
activity,7
actor,10
actors,2
actress,3
acts,2
actual,2
actually,15
acute,1
acutely,0
ad,0
ada,1
adam,1
adams,1
adapt,3
adaptability,0
adaptation,1
adapted,1
adapting,0
aday,0
add,5
added,8
addict,0
addicted,1
addiction,1
addictions,0
addicts,1
adding,1
addition,4
additional,2
additionally,0
additions,0
address,14
addressed,0
addresses,1
addressing,1
adds,1
addy,1
adelaide,2
adele,0
aden,1
adequate,31
adequately,1
adhere,1
adhered,0
adherents,0
adhesive,0
adidas,2
adios,2
aditi,0
adjacent,0
adjust,4
adjusted,0
adjusting,0
adjustment,0
adjustments,0
adjusts,1
admin,2
administer,0
administered,0
administration,4
administrations,1
administrative,1
admiral,0
admiralty,0
admire,0
admiring,0
admission,0
admit,1
admits,0
admittance,0
admitted,2
adnan,1
ado,0
adobe,10
adonis,0
adopt,0
adopted,2
adopter,1
adoption,0
adoptions,0
adoptive,0
adorable,0
adore,2
adrenaline,1
adrian,0
adriano,0
ads,1
adult,2
adulthood,0
adults,1
adv,1
advance,2
advanced,3
advancing,0
advantage,5
advantages,1
advent,0
adventist,0
adventure,9
adventures,6
adventurous,1
adversely,1
adversity,0
advert,0
advertisement,0
advertising,2
advice,37
advices,0
advise,3
advised,4
adviser,1
advisers,5
advises,0
advisor,0
advisors,1
advisory,5
advocate,1
advocates,0
advocating,0
ae,0
aerial,2
aero,2
aerobatics,0
aerobic,1
aerobics,5
aesthetic,3
aesthetics,0
af,11
afar,0
affair,1
affaire,0
affairs,1
affect,3
affected,27
affecting,3
affection,0
affectionate,0
affective,0
affects,1
afflicted,1
affliction,1
afford,3
affordable,3
afghan,0
afghanistan,1
aficionados,0
afloat,0
afm,0
afraid,16
africa,40
african,3
africans,2
afro,2
aftereffects,2
afterlife,0
aftermath,0
afternoon,4
afterthought,0
ag,0
agar,1
age,6
aged,1
ageing,0
agencies,0
agency,4
agenda,2
agent,2
agents,1
ages,1
aggression,0
aggressive,0
agility,0
aging,12
agitated,1
agnes,0
agony,1
agra,0
agree,2
agreed,1
agreement,1
agrees,2
agricultural,1
agriculture,0
aguilar,1
ah,1
ahead,1
ahh,1
ahhh,2
ahhhh,1
ahmad,0
ahmedabad,4
ahoy,1
ai,0
aid,3
aidan,0
aide,2
aides,0
aids,4
aileen,0
ails,1
aim,0
aimed,0
aiming,0
aims,0
ain,22
air,22
airbase,0
airborne,5
airbus,2
aircraft,2
aires,1
airlie,0
airline,1
airlines,0
airplane,2
airplanes,0
airport,12
airports,0
airs,0
airsoft,1
airways,2
aisles,2
aisling,0
aj,2
aja,2
aji,1
ajit,2
ak,0
aka,11
akai,1
akin,0
akira,0
akshay,2
al,9
ala,0
alabama,2
aladdin,0
alain,0
alamo,0
alamos,0
alan,1
alanna,0
alarm,3
alarming,0
alas,1
alaska,2
albans,0
albany,2
albatross,0
alberni,1
albert,1
alberta,11
alberto,0
albion,1
album,3
albums,0
albuquerque,0
alcatraz,0
alcohol,11
alcoholic,1
alcoholics,1
alcs,0
aldwych,1
ale,1
alert,12
alerted,0
alerting,0
alertness,0
alerts,2
alex,5
alexa,1
alexander,0
alexanderplatz,0
alexandra,0
alexandria,2
alexia,0
alf,1
alfonso,0
alfred,1
alfredo,1
algarve,1
algeria,0
algiers,3
algonquin,1
algorithm,0
ali,5
alias,0
alice,1
alicia,0
alien,1
aliens,3
align,0
aligned,0
alignment,0
alike,2
alison,0
alittle,0
alive,7
allah,2
allahabad,0
allegedly,0
allegory,0
allen,0
allergies,7
allergy,3
alleviate,0
alley,0
alliance,0
alligator,0
allison,0
alliteration,1
alllll,2
allocated,1
alloted,0
allotment,2
allow,15
allowance,0
allowed,10
allowing,2
allows,2
alls,3
alltogether,0
ally,0
allyson,0
alma,1
almighty,3
aloha,2
alok,0
aloma,0
aloo,0
aloof,0
alot,2
alpha,1
alphabetically,1
alpine,0
alps,0
alright,7
alrite,1
alt,0
alta,0
altar,0
altered,0
alternative,4
altitude,0
alto,1
aluminium,1
aluminum,1
alumna,0
alumni,3
alumnus,0
alums,0
alvarez,0
alway,0
alyssa,0
alzheimers,0
ama,2
aman,0
amanda,0
amando,1
amar,0
amara,0
amaro,1
amaze,0
amazed,0
amazing,32
amazingly,1
amazon,7
ambassador,1
ambassadors,2
amber,0
ambience,0
ambient,0
ambitious,0
amboy,0
ambulance,4
ambulances,2
amc,0
amelia,0
amen,12
amendment,1
america,21
americana,0
americans,4
ames,0
amg,2
ami,0
amigos,0
amin,0
amit,0
amity,1
amma,0
ammo,1
ammonia,0
amnesty,0
amor,1
amount,6
amp,161
ample,0
amplified,0
amplifying,0
amputated,1
amputation,1
amrita,0
amritsar,0
amruta,1
amsterdam,4
amusing,0
amy,1
ana,0
anagram,0
anaheim,0
analysing,1
analysis,0
analyst,1
analytical,0
anand,0
anastasia,0
anatomy,0
anc,0
ancestors,1
ancestry,0
anchor,0
ancient,3
anda,0
anders,0
anderson,2
andover,0
andrea,2
andrej,1
andrew,6
android,2
andy,1
anemic,0
anesthesiologist,1
ang,0
angel,1
angela,0
angeles,42
angels,1
anger,0
angered,0
angie,0
angle,0
angles,0
angling,1
angry,1
angst,1
anil,0
animal,6
animals,8
animated,1
animation,7
anime,1
anita,0
anja,2
ankles,0
ann,3
anna,3
annabelle,0
anne,0
annette,0
annie,0
anniversaries,0
anniversary,4
announce,7
announced,9
announcement,6
announcements,0
announces,4
announcing,0
annoyed,1
annoying,1
annual,4
anointed,1
anonymous,2
ans,2
ansonia,0
answer,6
answered,0
answering,1
answers,3
ant,0
antarctica,0
antes,1
anthem,2
anthems,0
anthony,1
anti,5
antibiotics,1
antibodies,0
antibody,0
anticipate,10
anticipated,0
