,0
aa,2
aachen,2
aamir,0
aan,1
aap,1
aaron,1
ab,6
abandon,2
abandoned,7
abandonment,1
abba,2
abbas,1
abbey,3
abbots,1
abbott,2
abbotts,1
abc,7
abdul,2
abdullah,1
abdulrahman,0
abe,1
abed,1
abel,1
aberdeen,2
abhi,2
abhishek,1
abi,3
abide,4
abilene,1
abilities,1
ability,9
abingdon,1
abit,2
able,68
ably,1
abnormal,2
abomination,0
aboriginal,4
abound,0
abreast,4
abroad,3
abrupt,1
abruptly,0
abs,0
absence,2
absolute,0
absolutely,19
absorb,1
abstinence,1
abstract,3
abstraction,1
abt,3
abu,8
abundance,3
abuse,0
abused,1
abuser,1
ac,8
acacia,0
academic,2
academics,1
academy,13
accent,1
accept,12
acceptable,1
acceptance,0
accepted,11
accepting,1
accepts,1
access,14
accessing,1
accessories,5
accessory,3
accident,2
accidentally,1
accolade,1
accommodate,0
accommodation,4
accompanied,2
accompaniment,1
accomplices,0
accomplished,3
accomplishing,1
accomplishment,1
accomplishments,1
accord,1
accordance,1
according,12
accordion,1
accordionist,1
account,12
accountability,1
accountable,0
accounts,3
acct,1
accumulated,1
accumulates,1
accurate,2
accurately,1
accusation,1
accusations,1
accused,2
accuses,0
ace,1
aces,2
ache,2
aches,7
achieve,5
achieved,3
achievement,1
achievements,1
achieving,2
aching,1
achoo,1
achtung,0
acid,3
acids,2
ack,3
acknowledge,4
acknowledging,0
aclu,1
acne,1
acorn,1
acoustic,4
acp,2
acquired,1
acquiring,1
acres,1
acrid,1
acrylic,6
act,20
acted,2
acting,12
action,29
actions,5
activate,0
activated,1
activates,0
active,32
actively,1
activism,2
activist,4
activists,1
activities,15
activity,16
actor,29
actors,4
actress,1
acts,8
actual,9
actually,61
acute,3
acutely,1
ad,9
ada,3
adam,3
adams,3
adapt,11
adaptability,2
adaptation,0
adapted,2
adapting,2
aday,1
add,18
added,14
addict,1
addicted,1
addiction,5
addictions,1
addicts,0
adding,6
addition,7
additional,4
additionally,1
additions,3
address,16
addressed,1
addresses,0
addressing,1
adds,3
addy,1
adelaide,6
adele,1
aden,0
adequate,4
adequately,0
adhere,2
adhered,1
adherents,1
adhesive,2
adidas,4
adios,0
aditi,1
adjacent,2
adjust,4
adjusted,3
adjusting,4
adjustment,2
adjustments,2
adjusts,0
admin,0
administer,1
administered,1
administration,6
administrations,1
administrative,2
admiral,1
admiralty,1
admire,19
admiring,1
admission,1
admit,4
admits,2
admittance,1
admitted,1
adnan,0
ado,1
adobe,5
adonis,1
adopt,6
adopted,1
adopter,0
adoption,2
adoptions,1
adoptive,1
adorable,2
adore,0
adrenaline,0
adrian,2
adriano,5
ads,1
adult,13
adulthood,1
adults,9
adv,0
advance,3
advanced,3
advancing,1
advantage,17
advantages,0
advent,1
adventist,1
adventure,28
adventures,10
adventurous,2
adversely,0
adversity,4
advert,4
advertisement,2
advertising,7
advice,35
advices,2
advise,2
advised,4
adviser,0
advisers,1
advises,1
