,0
aa,2
aachen,2
aamir,1
aan,1
aap,1
aaron,1
ab,11
abandon,2
abandoned,7
abandonment,1
abba,4
abbas,1
abbey,4
abbots,1
abbott,1
abbotts,0
abc,9
abdul,1
abdullah,2
abdulrahman,0
abe,1
abed,1
abel,1
aberdeen,2
abhi,2
abhishek,1
abi,3
abide,4
abilene,1
abilities,1
ability,9
abingdon,1
abit,2
able,88
ably,1
abnormal,2
abomination,0
aboriginal,3
abound,0
abreast,4
abroad,4
abrupt,1
abruptly,1
abs,8
absence,2
absolute,2
absolutely,25
absorb,2
abstinence,1
abstract,4
abstraction,1
abt,3
abu,7
abundance,3
abuse,0
abused,1
abuser,1
ac,8
acacia,1
academic,2
academics,1
academy,15
accent,1
accept,35
acceptable,1
acceptance,1
accepted,15
accepting,2
accepts,1
access,17
accessing,1
accessories,8
accessory,3
accident,2
accidentally,1
accolade,1
accommodate,0
accommodation,4
accompanied,3
accompaniment,1
accomplices,0
accomplished,3
accomplishing,1
accomplishment,1
accomplishments,1
accord,2
accordance,2
according,17
accordion,1
accordionist,1
account,15
accountability,1
accountable,1
accounts,5
acct,1
accumulated,2
accumulates,1
accurate,6
accurately,1
accusation,1
accusations,1
accused,3
accuses,0
ace,3
aces,3
ache,2
aches,7
achieve,4
achieved,2
achievement,2
achievements,1
achieving,2
aching,1
achoo,1
achtung,1
acid,3
acids,2
ack,3
acknowledge,4
acknowledging,0
aclu,0
acne,1
acorn,1
acoustic,5
acp,2
acquired,1
acquiring,3
acres,2
acrid,1
acrylic,4
act,25
acted,2
acting,13
action,35
actions,5
activate,1
activated,3
activates,1
active,39
actively,1
activism,2
activist,4
activists,1
activities,21
activity,20
actor,35
actors,5
actress,3
acts,9
actual,9
actually,66
acute,4
acutely,1
ad,9
ada,4
adam,3
adams,4
adapt,14
adaptability,2
adaptation,1
adapted,2
adapting,2
aday,1
add,22
added,19
addict,1
addicted,2
addiction,6
addictions,1
addicts,1
adding,7
addition,10
additional,5
additionally,1
additions,3
address,28
addressed,1
addresses,0
addressing,2
adds,3
addy,2
adelaide,7
adele,1
aden,1
adequate,7
adequately,0
adhere,3
adhered,1
adherents,1
adhesive,2
adidas,6
adios,2
aditi,1
adjacent,0
adjust,8
adjusted,3
adjusting,4
adjustment,2
adjustments,1
adjusts,1
admin,2
administer,1
administered,1
administration,7
administrations,1
administrative,2
admiral,1
admiralty,1
admire,19
admiring,1
admission,1
admit,5
admits,2
admittance,1
admitted,3
adnan,0
ado,1
adobe,10
adonis,1
adopt,6
adopted,1
adopter,1
adoption,2
adoptions,1
adoptive,1
adorable,2
adore,1
adrenaline,1
adrian,2
adriano,5
ads,2
adult,14
adulthood,1
adults,10
adv,1
advance,5
advanced,6
advancing,1
advantage,19
advantages,0
advent,1
adventist,1
adventure,35
adventures,12
adventurous,2
adversely,1
adversity,4
advert,4
advertisement,2
advertising,8
advice,43
advices,2
advise,3
advised,7
adviser,0
advisers,1
advises,1
