,0
aa,4
aachen,2
aamir,1
aan,2
aap,1
aaron,1
ab,11
abandon,3
abandoned,7
abandonment,1
abba,10
abbas,1
abbey,5
abbots,1
abbott,3
abbotts,1
abc,10
abdul,2
abdullah,2
abdulrahman,2
abe,1
abed,1
abel,1
aberdeen,2
abhi,2
abhishek,1
abi,3
abide,4
abilene,2
abilities,1
ability,10
abingdon,1
abit,2
able,93
ably,1
abnormal,2
abomination,1
aboriginal,4
abound,1
abreast,4
abroad,4
abrupt,1
abruptly,2
abs,8
absence,2
absolute,2
absolutely,28
absorb,2
abstinence,1
abstract,4
abstraction,1
abt,3
abu,8
abundance,4
abuse,2
abused,1
abuser,1
ac,8
acacia,1
academic,2
academics,1
academy,15
accent,1
accept,38
acceptable,2
acceptance,1
accepted,16
accepting,4
accepts,1
access,21
accessing,1
accessories,8
accessory,3
accident,2
accidentally,2
accolade,1
accommodate,1
accommodation,4
accompanied,4
accompaniment,1
accomplices,1
accomplished,4
accomplishing,1
accomplishment,1
accomplishments,1
accord,2
accordance,2
according,25
accordion,1
accordionist,1
account,16
accountability,1
accountable,2
accounts,5
acct,1
accumulated,2
accumulates,1
accurate,8
accurately,1
accusation,1
accusations,1
accused,3
accuses,1
ace,3
aces,3
ache,2
aches,7
achieve,7
achieved,3
achievement,2
achievements,2
achieving,3
aching,1
achoo,1
achtung,1
acid,3
acids,2
ack,3
acknowledge,4
acknowledging,1
aclu,1
acne,1
acorn,1
acoustic,5
acp,2
acquired,1
acquiring,3
acres,2
acrid,1
acrylic,17
act,29
acted,2
acting,14
action,39
actions,7
activate,1
activated,3
activates,1
active,43
actively,1
activism,2
activist,4
activists,2
activities,22
activity,23
actor,39
actors,6
actress,4
acts,10
actual,11
actually,76
acute,4
acutely,1
ad,9
ada,4
adam,4
adams,4
adapt,14
adaptability,2
adaptation,1
adapted,3
adapting,2
aday,1
add,23
added,22
addict,1
addicted,2
addiction,6
addictions,1
addicts,1
adding,7
addition,11
additional,6
additionally,1
additions,3
address,30
addressed,1
addresses,1
addressing,2
adds,4
addy,2
adelaide,8
adele,1
aden,1
adequate,35
adequately,1
adhere,3
adhered,1
adherents,1
adhesive,2
adidas,6
adios,2
aditi,1
adjacent,2
adjust,8
adjusted,3
adjusting,4
adjustment,2
adjustments,2
adjusts,1
admin,2
administer,1
administered,1
administration,10
administrations,2
administrative,3
admiral,1
admiralty,1
admire,19
admiring,1
admission,1
admit,5
admits,2
admittance,1
admitted,3
adnan,1
ado,1
adobe,15
adonis,1
adopt,6
adopted,3
adopter,1
adoption,2
adoptions,1
adoptive,1
adorable,2
adore,2
adrenaline,1
adrian,2
adriano,5
ads,2
adult,15
adulthood,1
adults,10
adv,1
advance,5
advanced,6
advancing,1
advantage,22
advantages,1
advent,1
adventist,1
adventure,37
adventures,16
adventurous,3
adversely,1
adversity,4
advert,4
advertisement,2
advertising,9
advice,72
advices,2
advise,5
advised,8
adviser,1
advisers,6
advises,1
advisor,1
advisors,2
advisory,7
advocate,2
advocates,1
advocating,1
ae,2
aerial,7
aero,2
aerobatics,1
aerobic,1
aerobics,5
aesthetic,10
aesthetics,1
af,13
afar,5
affair,2
affaire,1
affairs,4
affect,19
affected,72
affecting,20
affection,1
affectionate,1
affective,1
affects,4
afflicted,2
affliction,1
afford,6
affordable,7
afghan,1
afghanistan,1
aficionados,1
afloat,1
afm,1
afraid,33
africa,151
african,21
africans,5
afro,6
aftereffects,6
afterlife,1
aftermath,1
afternoon,45
afterthought,1
ag,2
agar,1
age,45
aged,6
ageing,1
agencies,4
agency,11
agenda,6
agent,7
agents,3
ages,8
aggression,1
aggressive,1
agility,1
aging,56
agitated,2
agnes,1
agony,1
agra,8
agree,23
agreed,5
agreement,1
agrees,2
agricultural,1
agriculture,1
aguilar,1
ah,6
ahead,34
ahh,2
ahhh,4
ahhhh,3
ahmad,2
ahmedabad,24
ahoy,1
ai,2
aid,15
aidan,1
aide,2
aides,1
aids,9
aileen,1
ails,1
aim,1
aimed,2
aiming,1
aims,1
ain,93
air,101
airbase,1
airborne,6
airbus,2
aircraft,6
aires,1
airlie,1
airline,3
airlines,4
airplane,4
airplanes,1
airport,38
airports,2
airs,2
airsoft,1
airways,2
aisles,3
aisling,1
aj,4
aja,2
aji,1
ajit,2
ak,2
aka,67
akai,3
akin,1
akira,1
akshay,3
al,30
ala,2
alabama,17
aladdin,1
alain,1
alamo,1
alamos,1
alan,2
alanna,1
alarm,5
alarming,3
alas,2
alaska,4
albans,2
albany,9
albatross,1
alberni,1
albert,8
alberta,15
alberto,2
albion,1
album,28
albums,2
albuquerque,2
alcatraz,4
alcohol,37
alcoholic,3
alcoholics,1
alcs,1
aldwych,1
ale,6
alert,37
alerted,1
alerting,1
alertness,2
alerts,3
alex,10
alexa,3
alexander,1
alexanderplatz,1
alexandra,1
alexandria,8
alexia,1
alf,1
alfonso,1
alfred,2
alfredo,1
algarve,3
algeria,1
algiers,4
algonquin,1
algorithm,2
ali,11
alias,1
alice,2
alicia,1
alien,2
aliens,3
align,1
aligned,1
alignment,1
alike,2
alison,1
alittle,1
alive,34
allah,34
allahabad,1
allegedly,1
allegory,1
allen,8
allergies,13
allergy,6
alleviate,1
alley,2
alliance,2
alligator,5
allison,1
alliteration,1
alllll,2
allocated,1
alloted,1
allotment,2
allow,30
allowance,1
allowed,35
allowing,5
allows,4
alls,30
alltogether,3
ally,1
allyson,1
alma,1
almighty,13
aloha,9
alok,2
aloma,1
aloo,1
aloof,1
alot,6
alpha,3
alphabetically,1
alpine,1
alps,3
alright,20
alrite,1
alt,1
alta,1
altar,1
altered,1
alternative,9
altitude,2
alto,1
aluminium,1
aluminum,2
alumna,1
alumni,6
alumnus,1
alums,1
alvarez,1
alway,1
alyssa,4
alzheimers,1
ama,6
aman,2
amanda,1
amando,1
amar,1
amara,1
amaro,1
amaze,1
amazed,4
amazing,123
amazingly,2
amazon,24
ambassador,11
ambassadors,4
amber,1
ambience,2
ambient,1
ambitious,2
amboy,1
ambulance,8
ambulances,2
amc,4
amelia,1
amen,19
amendment,3
america,66
americana,1
americans,7
ames,2
amg,2
ami,1
amigos,1
amin,1
amit,1
amity,1
amma,1
ammo,2
ammonia,1
amnesty,2
amor,3
amount,14
amp,1037
ample,1
amplified,1
amplifying,1
amputated,1
amputation,1
amrita,1
amritsar,3
amruta,1
amsterdam,34
amusing,1
amy,2
ana,4
anagram,2
anaheim,3
analysing,1
analysis,4
analyst,1
analytical,1
anand,1
anastasia,1
anatomy,1
anc,2
ancestors,3
ancestry,1
anchor,6
ancient,7
anda,1
anders,1
anderson,4
andover,2
andrea,2
andrej,1
andrew,8
android,13
andy,2
anemic,1
anesthesiologist,1
ang,2
angel,10
angela,3
angeles,196
angels,3
anger,4
angered,1
angie,16
angle,1
angles,4
angling,3
angry,5
angst,2
anil,1
animal,26
animals,34
animated,2
animation,22
anime,4
anita,1
anja,2
ankles,1
ann,6
anna,4
annabelle,1
anne,2
annette,1
annie,1
anniversaries,7
anniversary,12
announce,16
announced,20
announcement,20
announcements,1
announces,8
announcing,1
annoyed,2
annoying,3
annual,7
anointed,1
anonymous,3
ans,4
ansonia,1
answer,25
answered,2
answering,3
answers,22
ant,2
antarctica,1
antes,2
anthem,5
anthems,1
anthony,3
anti,24
antibiotics,1
antibodies,7
antibody,2
anticipate,13
anticipated,5
anticipation,1
antidote,6
antique,5
antiques,2
antiquities,1
antisocial,1
antivirus,6
antoni,2
antonio,22
antwerp,4
anu,1
anxieties,1
anxiety,32
anxious,6
anxiously,1
anyhow,2
anymore,19
anytime,12
anyway,23
anyways,8
anywhere,28
ao,4
ap,2
aparna,1
apart,30
apartment,19
apartments,8
apc,1
ape,4
apes,1
apex,3
aphorisms,1
apiece,1
apna,2
apne,1
apocalypse,39
apocalyptic,7
apollo,7
apologies,3
apologise,1
apologize,5
apologized,1
apology,1
app,37
appalling,1
apparel,8
apparently,18
appart,1
appeal,15
appealed,4
appealing,2
appeals,1
appear,2
appearance,8
appeared,1
appears,7
appetizer,1
applaud,4
applauding,2
applause,6
applauses,1
apple,33
appliances,1
applicable,2
application,7
applications,1
applied,1
applies,2
apply,15
applying,2
appointed,4
appointment,15
appointments,11
appraisal,2
appraisals,1
appreciate,53
appreciated,10
appreciating,4
appreciation,11
appreciative,1
apprehensive,1
approach,4
approached,3
approaching,2
appropriate,10
approval,2
approve,2
approved,16
approves,5
approx,2
approximately,1
apps,5
apr,91
april,327
apropos,1
apt,6
aptly,1
aq,1
aquarium,1
aquarius,2
aquatic,1
ar,4
arab,32
arabia,8
arabian,1
arabic,41
arachnid,1
aragorn,1
arbor,4
arbus,1
arc,1
arcade,1
arch,2
archbishop,1
archer,1
archery,1
archie,1
architect,3
architects,2
architectural,2
architecture,49
archival,1
archive,5
archived,1
archives,6
area,60
areas,18
arena,6
argentina,6
argentine,1
argue,1
arguing,2
argument,1
argyll,1
aria,1
ariel,4
arisen,1
arises,2
arising,1
aristotle,1
arizona,56
arjun,1
arkansas,11
arlington,12
arm,5
armada,1
armageddon,2
armani,1
armed,4
armor,2
armoured,1
armoury,1
armpits,2
arms,9
armstrong,1
army,15
arora,1
arrange,1
arranged,1
arrangements,3
arranging,3
arrest,15
arresting,1
arriba,1
arrival,11
arrivals,1
arrive,5
arrived,14
arrives,2
arriving,3
arrogance,1
arrows,1
